Date,Open,High,Low,Close,Adj Close,Volume
01/04/2016,147500.0,148000.0,143500.0,144000.0,117625.109375,445332
01/05/2016,143000.0,145000.0,142000.0,143500.0,117216.703125,530496
01/06/2016,144000.0,145000.0,139000.0,140000.0,114357.7265625,769406
01/07/2016,138500.0,140000.0,137500.0,137500.0,112315.6328125,586187
01/08/2016,134500.0,138000.0,133500.0,136500.0,111498.7890625,888701
01/11/2016,134500.0,140500.0,134000.0,140000.0,114357.7265625,542749
01/12/2016,140500.0,141500.0,139000.0,139500.0,113949.3203125,386506
01/13/2016,140500.0,141500.0,139500.0,140500.0,114766.1796875,338336
01/14/2016,138500.0,143500.0,136500.0,141000.0,115174.59375,664829
01/15/2016,141000.0,142000.0,136500.0,138500.0,113132.46875,568653
01/18/2016,137500.0,140000.0,135500.0,139000.0,113540.8984375,400716
01/19/2016,138000.0,140000.0,136000.0,140000.0,114357.7265625,332956
01/20/2016,139500.0,140000.0,135500.0,136500.0,111498.7890625,544330
01/21/2016,136000.0,138000.0,135500.0,137000.0,111907.203125,455723
01/22/2016,138000.0,140500.0,136500.0,139000.0,113540.8984375,551671
01/25/2016,140000.0,140500.0,136000.0,137500.0,112315.6328125,543064
01/26/2016,136500.0,137000.0,134500.0,136000.0,111090.3671875,564584
01/27/2016,135500.0,137000.0,134500.0,137000.0,111907.203125,702981
01/28/2016,135500.0,136500.0,134500.0,135000.0,110273.53125,480730
01/29/2016,135000.0,136000.0,131000.0,133000.0,108639.875,990382
02/01/2016,132000.0,132500.0,130500.0,132500.0,108231.4296875,689972
02/02/2016,131500.0,132500.0,129000.0,129500.0,105780.9296875,594441
02/03/2016,127500.0,129500.0,126500.0,129000.0,105372.4921875,649021
02/04/2016,130000.0,132500.0,129500.0,132500.0,108231.4296875,600523
02/05/2016,132000.0,133500.0,131000.0,133500.0,109048.2734375,513150
02/11/2016,130500.0,132500.0,130500.0,131000.0,107006.1796875,688873
02/12/2016,131500.0,137500.0,131000.0,137000.0,111907.203125,1264899
02/15/2016,137500.0,141500.0,135000.0,139500.0,113949.3203125,879160
02/16/2016,139500.0,142500.0,137500.0,141000.0,115174.59375,524822
02/17/2016,142000.0,147500.0,141000.0,147000.0,120075.609375,772996
02/18/2016,147500.0,149000.0,145500.0,147000.0,120075.609375,468798
02/19/2016,147000.0,151000.0,147000.0,149000.0,121709.3046875,477553
02/22/2016,147500.0,148500.0,146000.0,147500.0,120484.015625,273335
02/23/2016,148000.0,149000.0,146500.0,149000.0,121709.3046875,250401
02/24/2016,147500.0,150000.0,146500.0,149000.0,121709.3046875,191286
02/25/2016,149500.0,153000.0,145500.0,147000.0,120075.609375,490265
02/26/2016,148000.0,148000.0,144500.0,147000.0,120075.609375,351408
02/29/2016,145500.0,149000.0,144500.0,147500.0,120484.015625,570117
03/02/2016,150000.0,150000.0,148000.0,150000.0,122526.140625,539821
03/03/2016,151500.0,151500.0,146000.0,147500.0,120484.015625,627810
03/04/2016,146000.0,147500.0,143500.0,147500.0,120484.015625,696287
03/07/2016,147500.0,147500.0,145500.0,146500.0,119667.203125,317439
03/08/2016,145000.0,149500.0,145000.0,148000.0,120892.453125,366489
03/09/2016,147000.0,149500.0,146500.0,149500.0,122117.6953125,452965
03/10/2016,149000.0,150000.0,148000.0,148000.0,120892.453125,690061
03/11/2016,147500.0,150000.0,147500.0,149000.0,121709.3046875,408175
03/14/2016,150000.0,150500.0,147000.0,148500.0,121300.890625,362075
03/15/2016,148500.0,149000.0,146000.0,147000.0,120075.609375,309077
03/16/2016,147000.0,148000.0,145500.0,146500.0,119667.203125,206136
03/17/2016,148000.0,148500.0,146000.0,146500.0,119667.203125,492380
03/18/2016,148000.0,150500.0,147500.0,150500.0,122934.578125,769047
03/21/2016,151000.0,155000.0,149500.0,154500.0,126201.9375,803657
03/22/2016,155500.0,159000.0,155000.0,159000.0,129877.7109375,872121
03/23/2016,159500.0,159500.0,157000.0,158000.0,129060.859375,454762
03/24/2016,156500.0,157000.0,154500.0,155500.0,127018.7734375,288522
03/25/2016,154500.0,155500.0,152000.0,153000.0,124976.6796875,279961
03/28/2016,153000.0,156500.0,152000.0,154000.0,125793.5078125,186865
03/29/2016,155000.0,156000.0,153500.0,155000.0,126610.3671875,229075
03/30/2016,156000.0,159000.0,155000.0,155500.0,127018.7734375,373060
03/31/2016,156000.0,156000.0,151500.0,152500.0,124568.2578125,575626
04/01/2016,152500.0,152500.0,147500.0,149500.0,122117.6953125,604435
04/04/2016,148500.0,149500.0,143500.0,144000.0,117625.109375,767267
04/05/2016,144000.0,145000.0,143500.0,144500.0,118033.5234375,292339
04/06/2016,144000.0,146000.0,144000.0,144000.0,117625.109375,379789
04/07/2016,143500.0,146500.0,143500.0,146500.0,119667.203125,366852
04/08/2016,146000.0,146500.0,144000.0,146000.0,119258.7890625,339546
04/11/2016,147500.0,147500.0,145000.0,146000.0,119258.7890625,197423
04/12/2016,146000.0,150000.0,145000.0,148500.0,121300.890625,361212
04/14/2016,150000.0,152000.0,149500.0,152000.0,124159.8359375,496852
04/15/2016,150500.0,152000.0,149000.0,151500.0,123751.4296875,297722
04/18/2016,150000.0,155000.0,150000.0,154000.0,125793.5078125,406339
04/19/2016,155000.0,155000.0,152000.0,153000.0,124976.6796875,310407
04/20/2016,153500.0,155000.0,151000.0,151500.0,123751.4296875,270230
04/21/2016,152000.0,154500.0,152000.0,154000.0,125793.5078125,297646
04/22/2016,152000.0,153500.0,150500.0,151000.0,123342.9765625,318972
04/25/2016,151000.0,152000.0,149000.0,149500.0,122117.6953125,273343
04/26/2016,149000.0,154000.0,149000.0,153500.0,125385.109375,365930
04/27/2016,152000.0,153000.0,148500.0,149000.0,121709.3046875,374037
04/28/2016,148500.0,150500.0,147000.0,148000.0,120892.453125,466520
04/29/2016,146500.0,147500.0,142000.0,143500.0,117216.703125,739237
05/02/2016,142000.0,144000.0,141500.0,142500.0,116399.8515625,242036
05/03/2016,143000.0,144000.0,142000.0,142500.0,116399.8515625,359029
05/04/2016,141500.0,142000.0,138500.0,139000.0,113540.8984375,807340
05/09/2016,138500.0,139000.0,135500.0,135500.0,110681.9453125,482711
05/10/2016,136500.0,140500.0,136500.0,139500.0,113949.3203125,346710
05/11/2016,140500.0,142000.0,138500.0,139000.0,113540.8984375,284228
05/12/2016,138000.0,138500.0,136500.0,136500.0,111498.7890625,421047
05/13/2016,136000.0,137500.0,135000.0,135000.0,110273.53125,529746
05/16/2016,136500.0,137500.0,135000.0,135500.0,110681.9453125,397771
05/17/2016,135500.0,136500.0,134500.0,134500.0,109865.1171875,314839
05/18/2016,135000.0,135500.0,132000.0,133000.0,108639.875,630692
05/19/2016,132500.0,136000.0,132500.0,134500.0,109865.1171875,389055
05/20/2016,134000.0,135000.0,131500.0,132000.0,107823.015625,462176
05/23/2016,133000.0,134500.0,133000.0,133000.0,108639.875,310458
05/24/2016,133000.0,135000.0,132000.0,133500.0,109048.2734375,355717
05/25/2016,134500.0,137000.0,134000.0,135000.0,110273.53125,500528
05/26/2016,136000.0,137000.0,134500.0,135000.0,110273.53125,342299
05/27/2016,136000.0,136500.0,135000.0,136000.0,111090.3671875,346406
05/30/2016,136000.0,137500.0,135000.0,136500.0,111498.7890625,474129
05/31/2016,136500.0,139500.0,135000.0,139500.0,113949.3203125,1734508
06/01/2016,137500.0,138500.0,136500.0,138000.0,112724.0390625,507997
06/02/2016,138500.0,139000.0,136500.0,138000.0,112724.0390625,419054
06/03/2016,138000.0,139500.0,137500.0,138500.0,113132.46875,352778
06/07/2016,138500.0,139500.0,137500.0,139500.0,113949.3203125,608452
06/08/2016,138500.0,141500.0,138500.0,139500.0,113949.3203125,598656
06/09/2016,139500.0,140500.0,137500.0,139000.0,113540.8984375,578177
06/10/2016,138500.0,140000.0,138000.0,139000.0,113540.8984375,350588
06/13/2016,138000.0,138500.0,135500.0,135500.0,110681.9453125,476958
06/14/2016,135500.0,138500.0,135000.0,138500.0,113132.46875,431039
06/15/2016,138000.0,139500.0,135000.0,135500.0,110681.9453125,409607
06/16/2016,135500.0,136000.0,133500.0,134500.0,109865.1171875,399199
06/17/2016,136000.0,136500.0,133500.0,134500.0,109865.1171875,328695
06/20/2016,136000.0,138500.0,135500.0,136500.0,111498.7890625,305307
06/21/2016,136500.0,139000.0,135500.0,138000.0,112724.0390625,353879
06/22/2016,138500.0,141500.0,138500.0,140000.0,114357.7265625,413267
06/23/2016,140500.0,141500.0,140000.0,141000.0,115174.59375,273960
06/24/2016,140500.0,142000.0,134500.0,139500.0,113949.3203125,901574
06/27/2016,141000.0,144000.0,139500.0,141500.0,115583.015625,1031506
06/28/2016,141500.0,142000.0,138500.0,139000.0,113540.8984375,570526
06/29/2016,140000.0,140000.0,137500.0,139000.0,114363.6640625,436045
06/30/2016,138000.0,138500.0,135500.0,135500.0,111483.984375,2700499
07/01/2016,136500.0,138000.0,136000.0,137000.0,112718.140625,388387
07/04/2016,138000.0,139500.0,137000.0,137000.0,112718.140625,518981
07/05/2016,136500.0,137000.0,134500.0,135000.0,111072.609375,389267
07/06/2016,134000.0,134500.0,129000.0,130000.0,106958.8125,1098353
07/07/2016,131500.0,132500.0,130500.0,131000.0,107781.578125,351312
07/08/2016,131000.0,133000.0,129000.0,130500.0,107370.203125,472095
07/11/2016,130500.0,132000.0,130500.0,131000.0,107781.578125,395952
07/12/2016,131500.0,133000.0,131000.0,132000.0,108604.3359375,401323
07/13/2016,133000.0,135500.0,132500.0,135500.0,111483.984375,567236
07/14/2016,134000.0,134500.0,131000.0,131500.0,108192.9609375,688220
07/15/2016,132000.0,134000.0,132000.0,133000.0,109427.109375,608594
07/18/2016,133000.0,134000.0,131000.0,132000.0,108604.3359375,417748
07/19/2016,131500.0,132000.0,130000.0,130000.0,106958.8125,630163
07/20/2016,129500.0,131000.0,129000.0,129500.0,106547.4453125,513880
07/21/2016,130000.0,131000.0,128500.0,130000.0,106958.8125,459440
